timestep,target,baseline_mean,baseline_std,conditioned_mean,conditioned_std
205,0.5,-0.025009328,0.05365586,-0.042829297,0.06747394
206,0.5,-0.025459427,0.055152576,-0.04531206,0.066769764
207,0.5,-0.024276791,0.05537684,-0.04573728,0.069339685
208,0.5,-0.02535307,0.054752767,-0.04731731,0.068311274
209,0.5,-0.022837628,0.053821653,-0.05045007,0.06990356
210,0.5,-0.020030186,0.056076102,-0.050648786,0.069301225
211,0.5,-0.016588662,0.054215614,-0.053243443,0.07341543
212,0.5,-0.01324705,0.05203925,-0.051094398,0.0711893
213,0.5,-0.012930426,0.05456583,-0.053735916,0.07364925
214,0.5,-0.011051238,0.055356722,-0.055267792,0.073772416
215,0.5,-0.0094946455,0.054630246,-0.053145148,0.073277265
216,0.5,-0.0072897365,0.05132007,-0.050524373,0.07400128
217,0.5,-0.0044364845,0.05196185,-0.05042641,0.07587626
218,0.5,-0.0027039964,0.05435702,-0.047493707,0.076660514
219,0.5,-0.0012450774,0.054586064,-0.048542738,0.07775065
220,0.5,0.0031475134,0.0560646,-0.04930891,0.07997049
221,0.5,0.00093969237,0.057433877,-0.050069444,0.08250869
222,0.5,0.0012413535,0.05460959,-0.05182091,0.08638562
223,0.5,0.00047214964,0.054838102,-0.053953815,0.08613053
224,0.5,0.003466582,0.05278311,-0.054182768,0.09149484
225,0.5,0.0046139946,0.05290988,-0.055580445,0.09066353
226,0.5,0.0046153786,0.05552975,-0.05389076,0.08817511
227,0.5,0.0026277925,0.058018923,-0.056761283,0.09132532
228,0.5,0.0036623061,0.058121435,-0.05543737,0.093739025
229,0.5,0.0050538266,0.06001203,-0.053602826,0.09293398
230,0.5,0.00554157,0.06057071,-0.050866067,0.09712291
231,0.5,0.0077020032,0.059873592,-0.051196173,0.0994586
232,0.5,0.005412757,0.062856205,-0.05191587,0.09759295
233,0.5,0.0091007715,0.06622745,-0.051181808,0.09882268
234,0.5,0.0062472774,0.068506055,-0.048273433,0.10016131
235,0.5,0.0056093824,0.07140126,-0.05106429,0.10352269
236,0.5,0.0055653644,0.07143956,-0.04815225,0.10053589
237,0.5,0.0063671,0.07167678,-0.04508025,0.10228904
238,0.5,0.008044202,0.07009673,-0.044752486,0.10138754
239,0.5,0.010411691,0.06786862,-0.044764742,0.10742678
240,0.5,0.011883177,0.06956176,-0.046253342,0.10655478
241,0.5,0.015486907,0.069894336,-0.04973771,0.108645745
242,0.5,0.014254289,0.071288474,-0.05181473,0.10888422
243,0.5,0.012280513,0.06851129,-0.052406535,0.103817046
244,0.5,0.013616242,0.06914425,-0.05399801,0.103388906
245,0.5,0.014401715,0.06771212,-0.051894113,0.10259047
246,0.5,0.014961647,0.06625389,-0.051481653,0.102985665
247,0.5,0.013952664,0.06712045,-0.04685857,0.10060672
248,0.5,0.0147157945,0.06607197,-0.045613635,0.0980313
249,0.5,0.017181318,0.06629173,-0.046577092,0.09761685
250,0.5,0.017098708,0.068719484,-0.048491225,0.099229455
251,0.5,0.019166367,0.0670061,-0.04920029,0.102631256
252,0.5,0.019099703,0.0673053,-0.050502703,0.10344417
253,0.5,0.021053655,0.06367753,-0.048562065,0.10560195
254,0.5,0.022634856,0.06429289,-0.04923483,0.10788549
255,0.5,0.022705965,0.063042946,-0.048638787,0.1095743
256,0.5,0.022943057,0.061409872,-0.046329282,0.10929297
257,0.5,0.024153106,0.05925929,-0.046682272,0.10603526
258,0.5,0.023481622,0.06109529,-0.04675016,0.10480408
259,0.5,0.024288734,0.060675964,-0.045532238,0.100684084
260,0.5,0.02255968,0.058260426,-0.044138025,0.09664054
261,0.5,0.023340367,0.05807483,-0.04242099,0.094541505
262,0.5,0.0203249,0.057696495,-0.040620074,0.08381989
263,0.5,0.018573232,0.05732807,-0.019920267,0.06839751
264,0.5,0.019405637,0.054776948,-0.020367503,0.0664554
265,0.5,0.02165297,0.057931673,-0.018379223,0.06053112
266,0.5,0.021658326,0.0546248,-0.017594207,0.059317254
267,0.5,0.019570015,0.05136888,-0.015669752,0.054397773
268,0.5,0.018761436,0.052329466,-0.013192198,0.050355215
269,0.5,0.01843496,0.04974147,-0.009536592,0.04740288
270,0.5,0.018867878,0.050414957,-0.0076515255,0.047064472
271,0.5,0.02094762,0.047607515,-0.006117274,0.04574185
272,0.5,0.02389035,0.048936013,-0.0054315114,0.043619078
273,0.5,0.024495503,0.047706436,-0.0047966605,0.0413092
274,0.5,0.025879294,0.046733454,-0.004434121,0.03873806
275,0.5,0.022791466,0.045184854,-0.0046047,0.03923895
276,0.5,0.02246244,0.047245935,-0.0040663956,0.036860727
277,0.5,0.024172356,0.047730364,-0.003567942,0.034918495
278,0.5,0.02580642,0.045989055,-0.0033069854,0.032831755
279,0.5,0.025403839,0.044493143,-0.0014090793,0.032923434
280,0.5,0.026956037,0.04898982,-0.0006188335,0.031787343
281,0.5,0.028767718,0.049899545,0.00048232984,0.030354237
282,0.5,0.030482335,0.050673712,0.0015738393,0.02910693
283,0.5,0.028057294,0.04934255,0.0019747305,0.026863987
284,0.5,0.027970662,0.05296025,0.0024846643,0.02529627
285,0.5,0.03145775,0.055487588,0.003638467,0.024060296
